CLAIM_ID,ERROR_REASON
CLM10077,Invalid Amount
CLM10077,Invalid Amount
CLM10078,Invalid Amount
CLM10078,Invalid Amount
CLM10078,Invalid Amount
CLM10079,Invalid Amount
CLM10079,Invalid Amount
CLM10079,Invalid Amount
CLM10079,Invalid Amount
CLM10079,Invalid Amount
CLM10079,Invalid Amount
CLM10080,Invalid Amount
CLM10081,Invalid Amount
CLM10081,Invalid Amount
CLM10081,Invalid Amount
CLM10081,Invalid Amount
CLM10081,Invalid Amount
CLM10081,Invalid Amount
CLM10081,Invalid Amount
CLM10081,Invalid Amount
CLM10082,Invalid Amount
CLM10082,Invalid Amount
CLM10082,Invalid Amount
CLM10083,Invalid Amount
CLM10083,Invalid Amount
CLM10084,Invalid Amount
CLM10085,Invalid Amount
CLM10085,Invalid Amount
CLM10085,Invalid Amount
CLM10086,Invalid Amount
CLM10086,Invalid Amount
CLM10086,Invalid Amount
CLM10086,Invalid Amount
CLM10087,Invalid Amount
CLM10088,Invalid Amount
CLM10089,Invalid Amount
CLM10089,Invalid Amount
CLM10089,Invalid Amount
CLM10090,Invalid Amount
CLM10090,Invalid Amount
CLM10091,Invalid Amount
CLM10092,Invalid Amount
CLM10092,Invalid Amount
CLM10092,Invalid Amount
CLM10092,Invalid Amount
CLM10092,Invalid Amount
CLM10092,Invalid Amount
CLM10093,Invalid Amount
CLM10093,Invalid Amount
CLM10094,Invalid Amount
CLM10094,Invalid Amount
CLM10094,Invalid Amount
CLM10095,Invalid Amount
CLM10095,Invalid Amount
CLM10095,Invalid Amount
CLM10096,Invalid Amount
CLM10096,Invalid Amount
CLM10096,Invalid Amount
CLM10096,Invalid Amount
CLM10097,Invalid Amount
CLM10097,Invalid Amount
CLM10097,Invalid Amount
CLM10098,Invalid Amount
CLM10098,Invalid Amount
CLM10098,Invalid Amount
CLM10099,Invalid Amount
CLM10099,Invalid Amount
CLM10099,Invalid Amount
CLM10099,Invalid Amount
CLM10100,Invalid Amount
CLM10100,Invalid Amount
CLM10100,Invalid Amount
CLM10101,Invalid Amount
CLM10102,Invalid Amount
CLM10103,Invalid Amount
CLM10103,Invalid Amount
CLM10103,Invalid Amount
CLM10103,Invalid Amount
CLM10104,Invalid Amount
CLM10104,Invalid Amount
CLM10104,Invalid Amount
CLM10105,Invalid Amount
CLM10105,Invalid Amount
CLM10105,Invalid Amount
CLM10105,Invalid Amount
CLM10105,Invalid Amount
CLM10106,Invalid Amount
CLM10107,Invalid Amount
CLM10107,Invalid Amount
CLM10107,Invalid Amount
CLM10107,Invalid Amount
CLM10108,Invalid Amount
CLM10109,Invalid Amount
CLM10109,Invalid Amount
CLM10109,Invalid Amount
CLM10109,Invalid Amount
CLM10110,Invalid Amount
CLM10110,Invalid Amount
CLM10110,Invalid Amount
CLM10111,Invalid Amount
CLM10111,Invalid Amount
CLM10112,Invalid Amount
CLM10112,Invalid Amount
CLM10112,Invalid Amount
CLM10113,Invalid Amount
CLM10114,Invalid Amount
CLM10114,Invalid Amount
CLM10115,Invalid Amount
CLM10116,Invalid Amount
CLM10116,Invalid Amount
CLM10116,Invalid Amount
CLM10116,Invalid Amount
CLM10116,Invalid Amount
CLM10117,Invalid Amount
CLM10117,Invalid Amount
CLM10118,Invalid Amount
CLM10119,Invalid Amount
CLM10119,Invalid Amount
CLM10119,Invalid Amount
CLM10119,Invalid Amount
CLM10119,Invalid Amount
CLM10120,Invalid Amount
CLM10121,Invalid Amount
CLM10121,Invalid Amount
CLM10121,Invalid Amount
CLM10121,Invalid Amount
CLM10121,Invalid Amount
CLM10122,Invalid Amount
CLM10122,Invalid Amount
CLM10123,Invalid Amount
CLM10123,Invalid Amount
CLM10124,Invalid Amount
CLM10124,Invalid Amount
CLM10125,Invalid Amount
CLM10125,Invalid Amount
CLM10125,Invalid Amount
CLM10125,Invalid Amount
CLM10125,Invalid Amount
CLM10126,Invalid Amount
CLM10126,Invalid Amount
CLM10127,Invalid Amount
CLM10128,Invalid Amount
CLM10128,Invalid Amount
CLM10129,Invalid Amount
CLM10130,Invalid Amount
CLM10130,Invalid Amount
CLM10130,Invalid Amount
CLM10131,Invalid Amount
CLM10131,Invalid Amount
CLM10132,Invalid Amount
CLM10132,Invalid Amount
CLM10133,Invalid Amount
CLM10133,Invalid Amount
CLM10133,Invalid Amount
CLM10134,Invalid Amount
CLM10135,Invalid Amount
CLM10135,Invalid Amount
CLM10136,Invalid Amount
CLM10137,Invalid Amount
CLM10137,Invalid Amount
CLM10137,Invalid Amount
CLM10137,Invalid Amount
CLM10138,Invalid Amount
CLM10138,Invalid Amount
CLM10139,Invalid Amount
CLM10139,Invalid Amount
CLM10139,Invalid Amount
CLM10139,Invalid Amount
CLM10139,Invalid Amount
CLM10140,Invalid Amount
CLM10141,Invalid Amount
CLM10141,Invalid Amount
CLM10143,Invalid Amount
CLM10143,Invalid Amount
CLM10143,Invalid Amount
CLM10143,Invalid Amount
CLM10144,Invalid Amount
CLM10144,Invalid Amount
CLM10144,Invalid Amount
CLM10144,Invalid Amount
CLM10145,Invalid Amount
CLM10146,Invalid Amount
CLM10147,Invalid Amount
CLM10149,Invalid Amount
CLM10150,Invalid Amount
CLM10150,Invalid Amount
CLM10150,Invalid Amount
CLM10150,Invalid Amount
CLM10151,Invalid Amount
CLM10151,Invalid Amount
CLM10151,Invalid Amount
CLM10151,Invalid Amount
CLM10152,Invalid Amount
CLM10152,Invalid Amount
CLM10153,Invalid Amount
CLM10154,Invalid Amount
CLM10155,Invalid Amount
CLM10155,Invalid Amount
CLM10156,Invalid Amount
CLM10157,Invalid Amount
CLM10157,Invalid Amount
CLM10158,Invalid Amount
CLM10159,Invalid Amount
CLM10159,Invalid Amount
CLM10160,Invalid Amount
CLM10161,Invalid Amount
CLM10161,Invalid Amount
CLM10161,Invalid Amount
CLM10162,Invalid Amount
CLM10162,Invalid Amount
CLM10163,Invalid Amount
CLM10163,Invalid Amount
CLM10164,Invalid Amount
CLM10165,Invalid Amount
CLM10165,Invalid Amount
CLM10166,Invalid Amount
CLM10167,Invalid Amount
CLM10168,Invalid Amount
CLM10169,Invalid Amount
CLM10170,Invalid Amount
CLM10170,Invalid Amount
CLM10171,Invalid Amount
CLM10171,Invalid Amount
CLM10171,Invalid Amount
CLM10172,Invalid Amount
CLM10173,Invalid Amount
CLM10174,Invalid Amount
CLM10175,Invalid Amount
CLM10175,Invalid Amount
CLM10176,Invalid Amount
CLM10177,Invalid Amount
CLM10177,Invalid Amount
CLM10177,Invalid Amount
CLM10177,Invalid Amount
CLM10178,Invalid Amount
CLM10178,Invalid Amount
CLM10179,Invalid Amount
CLM10180,Invalid Amount
CLM10181,Invalid Amount
CLM10182,Invalid Amount
CLM10183,Invalid Amount
CLM10184,Invalid Amount
CLM10185,Invalid Amount
CLM10185,Invalid Amount
CLM10185,Invalid Amount
CLM10186,Invalid Amount
CLM10186,Invalid Amount
CLM10186,Invalid Amount
CLM10186,Invalid Amount
CLM10186,Invalid Amount
CLM10186,Invalid Amount
CLM10187,Invalid Amount
CLM10188,Invalid Amount
CLM10189,Invalid Amount
CLM10190,Invalid Amount
CLM10190,Invalid Amount
CLM10190,Invalid Amount
CLM10190,Invalid Amount
CLM10191,Invalid Amount
CLM10191,Invalid Amount
CLM10192,Invalid Amount
CLM10192,Invalid Amount
CLM10193,Invalid Amount
CLM10193,Invalid Amount
CLM10193,Invalid Amount
CLM10193,Invalid Amount
CLM10193,Invalid Amount
CLM10193,Invalid Amount
CLM10193,Invalid Amount
CLM10194,Invalid Amount
CLM10194,Invalid Amount
CLM10194,Invalid Amount
CLM20001,Invalid Amount
CLM20001,Invalid Amount
CLM20001,Invalid Amount
CLM20001,Invalid Amount
CLM20002,Invalid Amount
CLM20002,Invalid Amount
CLM20002,Invalid Amount
CLM20002,Invalid Amount
CLM20003,Invalid Amount
CLM20004,Invalid Amount
CLM20005,Invalid Amount
CLM20005,Invalid Amount
CLM20005,Invalid Amount
CLM20006,Invalid Amount
CLM20006,Invalid Amount
CLM20007,Invalid Amount
CLM20007,Invalid Amount
CLM20008,Invalid Amount
CLM20008,Invalid Amount
CLM20008,Invalid Amount
CLM20008,Invalid Amount
CLM20008,Invalid Amount
CLM20008,Invalid Amount
CLM20008,Invalid Amount
CLM20009,Invalid Amount
CLM20010,Invalid Amount
CLM20010,Invalid Amount
CLM20010,Invalid Amount
CLM20010,Invalid Amount
CLM20010,Invalid Amount
CLM20011,Invalid Amount
CLM20011,Invalid Amount
CLM20011,Invalid Amount
CLM20011,Invalid Amount
CLM20012,Invalid Amount
CLM20013,Invalid Amount
CLM20013,Invalid Amount
CLM20013,Invalid Amount
CLM20013,Invalid Amount
CLM20014,Invalid Amount
CLM20014,Invalid Amount
CLM20015,Invalid Amount
CLM20016,Invalid Amount
CLM20016,Invalid Amount
CLM20016,Invalid Amount
CLM20016,Invalid Amount
CLM20017,Invalid Amount
CLM20018,Invalid Amount
CLM20019,Invalid Amount
CLM20019,Invalid Amount
CLM20020,Invalid Amount
CLM20020,Invalid Amount
CLM20020,Invalid Amount
CLM20020,Invalid Amount
CLM20020,Invalid Amount
CLM20021,Invalid Amount
CLM20021,Invalid Amount
CLM20021,Invalid Amount
CLM20021,Invalid Amount
CLM20021,Invalid Amount
CLM20022,Invalid Amount
CLM20022,Invalid Amount
CLM20023,Invalid Amount
CLM20023,Invalid Amount
CLM20023,Invalid Amount
CLM20024,Invalid Amount
CLM20024,Invalid Amount
CLM20024,Invalid Amount
CLM20024,Invalid Amount
CLM20025,Invalid Amount
CLM20025,Invalid Amount
CLM20025,Invalid Amount
CLM20026,Invalid Amount
CLM20027,Invalid Amount
CLM20028,Invalid Amount
CLM20028,Invalid Amount
CLM20029,Invalid Amount
CLM20030,Invalid Amount
CLM20031,Invalid Amount
CLM20032,Invalid Amount
CLM20032,Invalid Amount
CLM20033,Invalid Amount
CLM20034,Invalid Amount
CLM20034,Invalid Amount
CLM20034,Invalid Amount
CLM20034,Invalid Amount
CLM20034,Invalid Amount
CLM20035,Invalid Amount
CLM20035,Invalid Amount
CLM20035,Invalid Amount
CLM20036,Invalid Amount
CLM20036,Invalid Amount
CLM20036,Invalid Amount
CLM20037,Invalid Amount
CLM20037,Invalid Amount
CLM20038,Invalid Amount
CLM20038,Invalid Amount
CLM20038,Invalid Amount
CLM20038,Invalid Amount
CLM20039,Invalid Amount
CLM20039,Invalid Amount
CLM20039,Invalid Amount
CLM20039,Invalid Amount
CLM20039,Invalid Amount
CLM20039,Invalid Amount
CLM20040,Invalid Amount
CLM20040,Invalid Amount
CLM20040,Invalid Amount
CLM20040,Invalid Amount
CLM20040,Invalid Amount
CLM20040,Invalid Amount
CLM20041,Invalid Amount
CLM20041,Invalid Amount
CLM20041,Invalid Amount
CLM20041,Invalid Amount
CLM20041,Invalid Amount
CLM20041,Invalid Amount
CLM20041,Invalid Amount
CLM20041,Invalid Amount
CLM20042,Invalid Amount
CLM20043,Invalid Amount
CLM20044,Invalid Amount
CLM20045,Invalid Amount
CLM20045,Invalid Amount
CLM20046,Invalid Amount
CLM20046,Invalid Amount
CLM20047,Invalid Amount
CLM20047,Invalid Amount
CLM20048,Invalid Amount
CLM20048,Invalid Amount
CLM20049,Invalid Amount
CLM20049,Invalid Amount
CLM20049,Invalid Amount
CLM20049,Invalid Amount
CLM20050,Invalid Amount
CLM20050,Invalid Amount
CLM20050,Invalid Amount
CLM20050,Invalid Amount
CLM20051,Invalid Amount
CLM20051,Invalid Amount
CLM20051,Invalid Amount
CLM20051,Invalid Amount
CLM20051,Invalid Amount
CLM20051,Invalid Amount
CLM20052,Invalid Amount
CLM20052,Invalid Amount
CLM20053,Invalid Amount
CLM20053,Invalid Amount
CLM20053,Invalid Amount
CLM20054,Invalid Amount
CLM20054,Invalid Amount
CLM20055,Invalid Amount
CLM20055,Invalid Amount
CLM20056,Invalid Amount
CLM20056,Invalid Amount
CLM20056,Invalid Amount
CLM20057,Invalid Amount
CLM20057,Invalid Amount
CLM20058,Invalid Amount
CLM20058,Invalid Amount
CLM20059,Invalid Amount
CLM20059,Invalid Amount
CLM20059,Invalid Amount
CLM20059,Invalid Amount
CLM20059,Invalid Amount
CLM20060,Invalid Amount
CLM20060,Invalid Amount
CLM20060,Invalid Amount
CLM20060,Invalid Amount
CLM20061,Invalid Amount
CLM20061,Invalid Amount
CLM20062,Invalid Amount
CLM20063,Invalid Amount
CLM20063,Invalid Amount
CLM20063,Invalid Amount
CLM20063,Invalid Amount
CLM20063,Invalid Amount
CLM20064,Invalid Amount
CLM20064,Invalid Amount
CLM20065,Invalid Amount
CLM20066,Invalid Amount
CLM20066,Invalid Amount
CLM20066,Invalid Amount
CLM20067,Invalid Amount
CLM20067,Invalid Amount
CLM20067,Invalid Amount
CLM20068,Invalid Amount
CLM20069,Invalid Amount
CLM20069,Invalid Amount
CLM20069,Invalid Amount
CLM20069,Invalid Amount
CLM20069,Invalid Amount
CLM20070,Invalid Amount
CLM20071,Invalid Amount
CLM20072,Invalid Amount
CLM20072,Invalid Amount
CLM20072,Invalid Amount
CLM20074,Invalid Amount
CLM20075,Invalid Amount
CLM20075,Invalid Amount
CLM20075,Invalid Amount
CLM20076,Invalid Amount
CLM20077,Invalid Amount
CLM20077,Invalid Amount
CLM20078,Invalid Amount
CLM20079,Invalid Amount
CLM20080,Invalid Amount
CLM20081,Invalid Amount
CLM20081,Invalid Amount
CLM20082,Invalid Amount
CLM20083,Invalid Amount
CLM20084,Invalid Amount
CLM20085,Invalid Amount
CLM20086,Invalid Amount
CLM20086,Invalid Amount
CLM20087,Invalid Amount
CLM20087,Invalid Amount
CLM20087,Invalid Amount
CLM20088,Invalid Amount
CLM20089,Invalid Amount
CLM20090,Invalid Amount
CLM20091,Invalid Amount
CLM20091,Invalid Amount
CLM20091,Invalid Amount
CLM20091,Invalid Amount
CLM20092,Invalid Amount
CLM20092,Invalid Amount
CLM20092,Invalid Amount
CLM20093,Invalid Amount
CLM20094,Invalid Amount
CLM20095,Invalid Amount
CLM20095,Invalid Amount
CLM20095,Invalid Amount
CLM20096,Invalid Amount
CLM20096,Invalid Amount
CLM20096,Invalid Amount
CLM20096,Invalid Amount
CLM20097,Invalid Amount
CLM20097,Invalid Amount
CLM20097,Invalid Amount
CLM20098,Invalid Amount
CLM20098,Invalid Amount
CLM20099,Invalid Amount
CLM20099,Invalid Amount
CLM20099,Invalid Amount
CLM20099,Invalid Amount
CLM20100,Invalid Amount
CLM20101,Invalid Amount
CLM20101,Invalid Amount
CLM20101,Invalid Amount
CLM20102,Invalid Amount
CLM20102,Invalid Amount
CLM20103,Invalid Amount
CLM20103,Invalid Amount
CLM20104,Invalid Amount
CLM20104,Invalid Amount
CLM20104,Invalid Amount
CLM20104,Invalid Amount
CLM20105,Invalid Amount
CLM20105,Invalid Amount
CLM20105,Invalid Amount
CLM20106,Invalid Amount
CLM20106,Invalid Amount
CLM20106,Invalid Amount
CLM20107,Invalid Amount
CLM20108,Invalid Amount
CLM20109,Invalid Amount
CLM20109,Invalid Amount
CLM20109,Invalid Amount
CLM20109,Invalid Amount
CLM20109,Invalid Amount
CLM20110,Invalid Amount
CLM20111,Invalid Amount
CLM20112,Invalid Amount
CLM20113,Invalid Amount
CLM20113,Invalid Amount
CLM20113,Invalid Amount
CLM20113,Invalid Amount
CLM20113,Invalid Amount
CLM20113,Invalid Amount
CLM20113,Invalid Amount
CLM20113,Invalid Amount
CLM20113,Invalid Amount
CLM20113,Invalid Amount
CLM20113,Invalid Amount
CLM20114,Invalid Amount
CLM20115,Invalid Amount
CLM20115,Invalid Amount
CLM20116,Invalid Amount
CLM20116,Invalid Amount
CLM20116,Invalid Amount
CLM20116,Invalid Amount
CLM20117,Invalid Amount
CLM20117,Invalid Amount
CLM20118,Invalid Amount
CLM20118,Invalid Amount
CLM20118,Invalid Amount
CLM20118,Invalid Amount
CLM20119,Invalid Amount
CLM20119,Invalid Amount
CLM20120,Invalid Amount
CLM20120,Invalid Amount
CLM20121,Invalid Amount
CLM20121,Invalid Amount
CLM20122,Invalid Amount
CLM20123,Invalid Amount
CLM20123,Invalid Amount
CLM20123,Invalid Amount
CLM20124,Invalid Amount
CLM20124,Invalid Amount
CLM20124,Invalid Amount
CLM20125,Invalid Amount
CLM20126,Invalid Amount
CLM20126,Invalid Amount
CLM20126,Invalid Amount
CLM20126,Invalid Amount
CLM20127,Invalid Amount
CLM20128,Invalid Amount
CLM20129,Invalid Amount
CLM20129,Invalid Amount
CLM20130,Invalid Amount
CLM20131,Invalid Amount
CLM20131,Invalid Amount
CLM20131,Invalid Amount
CLM20132,Invalid Amount
CLM20133,Invalid Amount
CLM20134,Invalid Amount
CLM20135,Invalid Amount
CLM20135,Invalid Amount
CLM20135,Invalid Amount
CLM20135,Invalid Amount
CLM20136,Invalid Amount
CLM20136,Invalid Amount
CLM20137,Invalid Amount
CLM20138,Invalid Amount
CLM20139,Invalid Amount
CLM20140,Invalid Amount
CLM20140,Invalid Amount
CLM20140,Invalid Amount
CLM20141,Invalid Amount
CLM20142,Invalid Amount
CLM20143,Invalid Amount
CLM20143,Invalid Amount
CLM20144,Invalid Amount
CLM20144,Invalid Amount
CLM20144,Invalid Amount
CLM20144,Invalid Amount
CLM20144,Invalid Amount
CLM20145,Invalid Amount
CLM20145,Invalid Amount
CLM20145,Invalid Amount
CLM20146,Invalid Amount
CLM20146,Invalid Amount
CLM20146,Invalid Amount
CLM20146,Invalid Amount
CLM20146,Invalid Amount
CLM20146,Invalid Amount
CLM20146,Invalid Amount
CLM20146,Invalid Amount
CLM20147,Invalid Amount
CLM20149,Invalid Amount
CLM20149,Invalid Amount
CLM20150,Invalid Amount
CLM20150,Invalid Amount
CLM20151,Invalid Amount
CLM20152,Invalid Amount
CLM20152,Invalid Amount
CLM20152,Invalid Amount
CLM20152,Invalid Amount
CLM20152,Invalid Amount
CLM20153,Invalid Amount
CLM20153,Invalid Amount
CLM20154,Invalid Amount
CLM20155,Invalid Amount
CLM20155,Invalid Amount
CLM20155,Invalid Amount
CLM20155,Invalid Amount
CLM20156,Invalid Amount
CLM20157,Invalid Amount
CLM20158,Invalid Amount
CLM20159,Invalid Amount
CLM20160,Invalid Amount
CLM20161,Invalid Amount
CLM20161,Invalid Amount
CLM20162,Invalid Amount
CLM20163,Invalid Amount
CLM20163,Invalid Amount
CLM20164,Invalid Amount
CLM20165,Invalid Amount
CLM20165,Invalid Amount
CLM20166,Invalid Amount
CLM20167,Invalid Amount
CLM20167,Invalid Amount
CLM20168,Invalid Amount
CLM20169,Invalid Amount
CLM20170,Invalid Amount
CLM20170,Invalid Amount
CLM20170,Invalid Amount
CLM20170,Invalid Amount
CLM20171,Invalid Amount
CLM20173,Invalid Amount
CLM20174,Invalid Amount
CLM20174,Invalid Amount
CLM20174,Invalid Amount
CLM20175,Invalid Amount
CLM20176,Invalid Amount
CLM20176,Invalid Amount
CLM20177,Invalid Amount
CLM20178,Invalid Amount
CLM20179,Invalid Amount
CLM20180,Invalid Amount
CLM20180,Invalid Amount
CLM20180,Invalid Amount
CLM20180,Invalid Amount
CLM20181,Invalid Amount
CLM20182,Invalid Amount
CLM20183,Invalid Amount
CLM20184,Invalid Amount
CLM20185,Invalid Amount
CLM20186,Invalid Amount
CLM20187,Invalid Amount
CLM20187,Invalid Amount
CLM20188,Invalid Amount
CLM20189,Invalid Amount
CLM20190,Invalid Amount
CLM20191,Invalid Amount
CLM20191,Invalid Amount
CLM20191,Invalid Amount
CLM20192,Invalid Amount
CLM20193,Invalid Amount
CLM20194,Invalid Amount
CLM20195,Invalid Amount
CLM20195,Invalid Amount
CLM20195,Invalid Amount
CLM20196,Invalid Amount
CLM20197,Invalid Amount
CLM20198,Invalid Amount
CLM20198,Invalid Amount
CLM20199,Invalid Amount
CLM20199,Invalid Amount
CLM20200,Invalid Amount
CLM20201,Invalid Amount
CLM20201,Invalid Amount
CLM20201,Invalid Amount
CLM20201,Invalid Amount
CLM20202,Invalid Amount
CLM20202,Invalid Amount
CLM20202,Invalid Amount
CLM20202,Invalid Amount
CLM20203,Invalid Amount
CLM20204,Invalid Amount
CLM20204,Invalid Amount
CLM20205,Invalid Amount
CLM20206,Invalid Amount
CLM20207,Invalid Amount
CLM20207,Invalid Amount
CLM20207,Invalid Amount
CLM20207,Invalid Amount
CLM20208,Invalid Amount
CLM20208,Invalid Amount
CLM20209,Invalid Amount
CLM20210,Invalid Amount
CLM20210,Invalid Amount
CLM20210,Invalid Amount
CLM20210,Invalid Amount
CLM20210,Invalid Amount
CLM20211,Invalid Amount
CLM20212,Invalid Amount
CLM20213,Invalid Amount
CLM20214,Invalid Amount
CLM20215,Invalid Amount
CLM20216,Invalid Amount
CLM20217,Invalid Amount
CLM20217,Invalid Amount
CLM20217,Invalid Amount
CLM20218,Invalid Amount
CLM20219,Invalid Amount
CLM20220,Invalid Amount
CLM20220,Invalid Amount
CLM20220,Invalid Amount
CLM20220,Invalid Amount
CLM20221,Invalid Amount
CLM20221,Invalid Amount
CLM20221,Invalid Amount
CLM20222,Invalid Amount
