CLAIM_NUMBER,POLICY,RISK_STATE,DATE_OF_LOSS,NOTICE_DATE,AMOUNT,DATE,COMPANY,TYPE,COVERAGE,ACCIDENT_STATE,ACCIDENT_COMMENTS,MONTH_YEAR,DAYS_TO_NOTICE,COMPANY_NORMALIZED
CLM10003,SHJ62438045,IL,2020-02-20,2020-02-20,-282.15,2020-04-27,WORLD SPECIALTY INSURANCE CO,RSV-EXP-CHG,357-Adjusting Expenses,UT,CARGO - IV LEFT ROAD / ROLLED OVER (LOAD OF ONIONS),2020-04-01,0,WORLD SPECIALTY INSURANCE CO
CLM10003,SHJ62438045,IL,2020-02-20,2020-02-20,-6600.0,2020-04-27,WORLD SPECIALTY INSURANCE CO,RSV-LOSS-CHG,551-INDIA MARINE - PRIMARY/REEFER,UT,CARGO - IV LEFT ROAD / ROLLED OVER (LOAD OF ONIONS),2020-04-01,0,WORLD SPECIALTY INSURANCE CO
CLM10003,SHJ62438045,IL,2020-02-20,2020-02-20,8400.0,2020-04-27,WORLD SPECIALTY INSURANCE CO,INDEMNITY-PAID,551-INDIA MARINE - PRIMARY/REEFER,UT,CARGO - IV LEFT ROAD / ROLLED OVER (LOAD OF ONIONS),2020-04-01,0,WORLD SPECIALTY INSURANCE CO
CLM10003,SHJ62438045,IL,2020-02-20,2020-02-20,2500.0,2020-04-30,WORLD SPECIALTY INSURANCE CO,DED-RECV,551-INDIA MARINE - PRIMARY/REEFER,UT,CARGO - IV LEFT ROAD / ROLLED OVER (LOAD OF ONIONS),2020-04-01,0,WORLD SPECIALTY INSURANCE CO
CLM10003,SHJ62438045,IL,2020-02-20,2020-02-20,-2500.0,2020-04-30,WORLD SPECIALTY INSURANCE CO,RSV-LOSS-CHG,551-INDIA MARINE - PRIMARY/REEFER,UT,CARGO - IV LEFT ROAD / ROLLED OVER (LOAD OF ONIONS),2020-04-01,0,WORLD SPECIALTY INSURANCE CO
CLM10003,SHJ62438045,IL,2020-02-20,2020-02-20,2955.48,2020-05-07,WORLD SPECIALTY INSURANCE CO,SAL-RECV,551-INDIA MARINE - PRIMARY/REEFER,UT,CARGO - IV LEFT ROAD / ROLLED OVER (LOAD OF ONIONS),2020-05-01,0,WORLD SPECIALTY INSURANCE CO
CLM10003,SHJ62438045,IL,2020-02-20,2020-02-20,517.21,2020-05-07,WORLD SPECIALTY INSURANCE CO,EXPENSE-PAID,357-Adjusting Expenses,UT,CARGO - IV LEFT ROAD / ROLLED OVER (LOAD OF ONIONS),2020-05-01,0,WORLD SPECIALTY INSURANCE CO
CLM10003,SHJ62438045,IL,2020-02-20,2020-02-20,-2955.48,2020-05-07,WORLD SPECIALTY INSURANCE CO,RSV-LOSS-CHG,551-INDIA MARINE - PRIMARY/REEFER,UT,CARGO - IV LEFT ROAD / ROLLED OVER (LOAD OF ONIONS),2020-05-01,0,WORLD SPECIALTY INSURANCE CO
CLM10003,SHJ62438045,IL,2020-02-20,2020-02-20,517.21,2020-05-07,WORLD SPECIALTY INSURANCE CO,RSV-EXP-CHG,357-Adjusting Expenses,UT,CARGO - IV LEFT ROAD / ROLLED OVER (LOAD OF ONIONS),2020-05-01,0,WORLD SPECIALTY INSURANCE CO
CLM10004,PIC46082878,IL,2020-02-17,2020-02-25,10000.0,2020-02-25,WORLD SPECIALTY INSURANCE CO,START-LOSS-RSV,551-INDIA MARINE - PRIMARY/REEFER,MT,CARGO - IV FISHTAILED AND TRAILER WENT HALF INTO RIVER,2020-02-01,8,WORLD SPECIALTY INSURANCE CO
CLM10004,PIC46082878,IL,2020-02-17,2020-02-25,5000.0,2020-03-27,WORLD SPECIALTY INSURANCE CO,START-LOSS-RSV,558-INDIA MARINE - STORAGE & RECOVERY,MT,CARGO - IV FISHTAILED AND TRAILER WENT HALF INTO RIVER,2020-03-01,8,WORLD SPECIALTY INSURANCE CO
CLM10004,PIC46082878,IL,2020-02-17,2020-02-25,2500.0,2020-04-01,WORLD SPECIALTY INSURANCE CO,INDEMNITY-PAID,558-INDIA MARINE - STORAGE & RECOVERY,MT,CARGO - IV FISHTAILED AND TRAILER WENT HALF INTO RIVER,2020-04-01,8,WORLD SPECIALTY INSURANCE CO
CLM10004,PIC46082878,IL,2020-02-17,2020-02-25,-2500.0,2020-04-01,WORLD SPECIALTY INSURANCE CO,RSV-LOSS-CHG,558-INDIA MARINE - STORAGE & RECOVERY,MT,CARGO - IV FISHTAILED AND TRAILER WENT HALF INTO RIVER,2020-04-01,8,WORLD SPECIALTY INSURANCE CO
CLM10004,PIC46082878,IL,2020-02-17,2020-02-25,2500.0,2020-04-02,WORLD SPECIALTY INSURANCE CO,RSV-LOSS-CHG,558-INDIA MARINE - STORAGE & RECOVERY,MT,CARGO - IV FISHTAILED AND TRAILER WENT HALF INTO RIVER,2020-04-01,8,WORLD SPECIALTY INSURANCE CO
CLM10004,PIC46082878,IL,2020-02-17,2020-02-25,2500.0,2020-04-02,WORLD SPECIALTY INSURANCE CO,INDEMNITY-PAID,558-INDIA MARINE - STORAGE & RECOVERY,MT,CARGO - IV FISHTAILED AND TRAILER WENT HALF INTO RIVER,2020-04-01,8,WORLD SPECIALTY INSURANCE CO
CLM10004,PIC46082878,IL,2020-02-17,2020-02-25,2500.0,2020-04-16,WORLD SPECIALTY INSURANCE CO,DED-RECV,558-INDIA MARINE - STORAGE & RECOVERY,MT,CARGO - IV FISHTAILED AND TRAILER WENT HALF INTO RIVER,2020-04-01,8,WORLD SPECIALTY INSURANCE CO
CLM10004,PIC46082878,IL,2020-02-17,2020-02-25,-2500.0,2020-04-16,WORLD SPECIALTY INSURANCE CO,RSV-LOSS-CHG,558-INDIA MARINE - STORAGE & RECOVERY,MT,CARGO - IV FISHTAILED AND TRAILER WENT HALF INTO RIVER,2020-04-01,8,WORLD SPECIALTY INSURANCE CO
CLM10004,PIC46082878,IL,2020-02-17,2020-02-25,18000.0,2020-04-21,WORLD SPECIALTY INSURANCE CO,RSV-LOSS-CHG,551-INDIA MARINE - PRIMARY/REEFER,MT,CARGO - IV FISHTAILED AND TRAILER WENT HALF INTO RIVER,2020-04-01,8,WORLD SPECIALTY INSURANCE CO
CLM10004,PIC46082878,IL,2020-02-17,2020-02-25,-1552.72,2020-05-06,WORLD SPECIALTY INSURANCE CO,RSV-LOSS-CHG,551-INDIA MARINE - PRIMARY/REEFER,MT,CARGO - IV FISHTAILED AND TRAILER WENT HALF INTO RIVER,2020-05-01,8,WORLD SPECIALTY INSURANCE CO
CLM10004,PIC46082878,IL,2020-02-17,2020-02-25,26447.28,2020-05-06,WORLD SPECIALTY INSURANCE CO,INDEMNITY-PAID,551-INDIA MARINE - PRIMARY/REEFER,MT,CARGO - IV FISHTAILED AND TRAILER WENT HALF INTO RIVER,2020-05-01,8,WORLD SPECIALTY INSURANCE CO
CLM10004,PIC46082878,IL,2020-02-17,2020-02-25,1793.75,2020-06-08,WORLD SPECIALTY INSURANCE CO,EXPENSE-PAID,357-Adjusting Expenses,MT,CARGO - IV FISHTAILED AND TRAILER WENT HALF INTO RIVER,2020-06-01,8,WORLD SPECIALTY INSURANCE CO
CLM10004,PIC46082878,IL,2020-02-17,2020-02-25,-10250.0,2020-06-08,WORLD SPECIALTY INSURANCE CO,RSV-LOSS-CHG,551-INDIA MARINE - PRIMARY/REEFER,MT,CARGO - IV FISHTAILED AND TRAILER WENT HALF INTO RIVER,2020-06-01,8,WORLD SPECIALTY INSURANCE CO
CLM10004,PIC46082878,IL,2020-02-17,2020-02-25,1793.75,2020-06-08,WORLD SPECIALTY INSURANCE CO,START-EXP-RSV,357-Adjusting Expenses,MT,CARGO - IV FISHTAILED AND TRAILER WENT HALF INTO RIVER,2020-06-01,8,WORLD SPECIALTY INSURANCE CO
CLM10004,PIC46082878,IL,2020-02-17,2020-02-25,10250.0,2020-06-08,WORLD SPECIALTY INSURANCE CO,SAL-RECV,551-INDIA MARINE - PRIMARY/REEFER,MT,CARGO - IV FISHTAILED AND TRAILER WENT HALF INTO RIVER,2020-06-01,8,WORLD SPECIALTY INSURANCE CO
CLM10005,PIC46082878,IL,2020-02-03,2020-02-27,10000.0,2020-02-28,WORLD SPECIALTY INSURANCE CO,START-LOSS-RSV,551-INDIA MARINE - PRIMARY/REEFER,TN,CARGO LOAD REJECTED FOR DELAY,2020-02-01,24,WORLD SPECIALTY INSURANCE CO
CLM10005,PIC46082878,IL,2020-02-03,2020-02-27,-10000.0,2020-04-02,WORLD SPECIALTY INSURANCE CO,RSV-LOSS-CHG,551-INDIA MARINE - PRIMARY/REEFER,TN,CARGO LOAD REJECTED FOR DELAY,2020-04-01,24,WORLD SPECIALTY INSURANCE CO
CLM10006,AWA71576991,CA,2020-03-03,2020-03-06,85000.0,2020-03-10,WORLD SPECIALTY INSURANCE CO,START-LOSS-RSV,551-INDIA MARINE - PRIMARY/REEFER,FL,CARGO - SEAL BRKN & CARGO WAS VANDALIZED,2020-03-01,3,WORLD SPECIALTY INSURANCE CO
CLM10006,AWA71576991,CA,2020-03-03,2020-03-06,1000.0,2020-03-12,WORLD SPECIALTY INSURANCE CO,START-EXP-RSV,357-Adjusting Expenses,FL,CARGO - SEAL BRKN & CARGO WAS VANDALIZED,2020-03-01,3,WORLD SPECIALTY INSURANCE CO
CLM10006,AWA71576991,CA,2020-03-03,2020-03-06,5000.0,2020-03-19,WORLD SPECIALTY INSURANCE CO,RSV-LOSS-CHG,551-INDIA MARINE - PRIMARY/REEFER,FL,CARGO - SEAL BRKN & CARGO WAS VANDALIZED,2020-03-01,3,WORLD SPECIALTY INSURANCE CO
CLM10006,AWA71576991,CA,2020-03-03,2020-03-06,200.0,2020-03-24,WORLD SPECIALTY INSURANCE CO,START-EXP-RSV,357-Adjusting Expenses,FL,CARGO - SEAL BRKN & CARGO WAS VANDALIZED,2020-03-01,3,WORLD SPECIALTY INSURANCE CO
CLM10006,AWA71576991,CA,2020-03-03,2020-03-06,84110.4,2020-03-27,WORLD SPECIALTY INSURANCE CO,INDEMNITY-PAID,551-INDIA MARINE - PRIMARY/REEFER,FL,CARGO - SEAL BRKN & CARGO WAS VANDALIZED,2020-03-01,3,WORLD SPECIALTY INSURANCE CO
CLM10006,AWA71576991,CA,2020-03-03,2020-03-06,2500.0,2020-03-27,WORLD SPECIALTY INSURANCE CO,START-LOSS-RSV,554-INDIA MARINE - EARNED FREIGHT,FL,CARGO - SEAL BRKN & CARGO WAS VANDALIZED,2020-03-01,3,WORLD SPECIALTY INSURANCE CO
CLM10006,AWA71576991,CA,2020-03-03,2020-03-06,-2500.0,2020-03-27,WORLD SPECIALTY INSURANCE CO,START-EXP-RSV,554-INDIA MARINE - EARNED FREIGHT,FL,CARGO - SEAL BRKN & CARGO WAS VANDALIZED,2020-03-01,3,WORLD SPECIALTY INSURANCE CO
CLM10006,AWA71576991,CA,2020-03-03,2020-03-06,2500.0,2020-03-27,WORLD SPECIALTY INSURANCE CO,START-EXP-RSV,554-INDIA MARINE - EARNED FREIGHT,FL,CARGO - SEAL BRKN & CARGO WAS VANDALIZED,2020-03-01,3,WORLD SPECIALTY INSURANCE CO
CLM10006,AWA71576991,CA,2020-03-03,2020-03-06,2500.0,2020-03-27,WORLD SPECIALTY INSURANCE CO,START-LOSS-RSV,554-INDIA MARINE - EARNED FREIGHT,FL,CARGO - SEAL BRKN & CARGO WAS VANDALIZED,2020-03-01,3,WORLD SPECIALTY INSURANCE CO
CLM10006,AWA71576991,CA,2020-03-03,2020-03-06,-5000.0,2020-03-27,WORLD SPECIALTY INSURANCE CO,START-LOSS-RSV,551-INDIA MARINE - PRIMARY/REEFER,FL,CARGO - SEAL BRKN & CARGO WAS VANDALIZED,2020-03-01,3,WORLD SPECIALTY INSURANCE CO
CLM10006,AWA71576991,CA,2020-03-03,2020-03-06,2500.0,2020-04-02,WORLD SPECIALTY INSURANCE CO,DED-RECV,554-INDIA MARINE - EARNED FREIGHT,FL,CARGO - SEAL BRKN & CARGO WAS VANDALIZED,2020-04-01,3,WORLD SPECIALTY INSURANCE CO
CLM10006,AWA71576991,CA,2020-03-03,2020-03-06,5000.0,2020-04-02,WORLD SPECIALTY INSURANCE CO,INDEMNITY-PAID,554-INDIA MARINE - EARNED FREIGHT,FL,CARGO - SEAL BRKN & CARGO WAS VANDALIZED,2020-04-01,3,WORLD SPECIALTY INSURANCE CO
CLM10006,AWA71576991,CA,2020-03-03,2020-03-06,1034.58,2020-04-02,WORLD SPECIALTY INSURANCE CO,EXPENSE-PAID,357-Adjusting Expenses,FL,CARGO - SEAL BRKN & CARGO WAS VANDALIZED,2020-04-01,3,WORLD SPECIALTY INSURANCE CO
CLM10006,AWA71576991,CA,2020-03-03,2020-03-06,-165.42,2020-04-03,WORLD SPECIALTY INSURANCE CO,RSV-EXP-CHG,357-Adjusting Expenses,FL,CARGO - SEAL BRKN & CARGO WAS VANDALIZED,2020-04-01,3,WORLD SPECIALTY INSURANCE CO
CLM10006,AWA71576991,CA,2020-03-03,2020-03-06,-889.6,2020-04-03,WORLD SPECIALTY INSURANCE CO,RSV-LOSS-CHG,551-INDIA MARINE - PRIMARY/REEFER,FL,CARGO - SEAL BRKN & CARGO WAS VANDALIZED,2020-04-01,3,WORLD SPECIALTY INSURANCE CO
CLM10006,AWA71576991,CA,2020-03-03,2020-03-06,-2500.0,2020-04-03,WORLD SPECIALTY INSURANCE CO,RSV-LOSS-CHG,554-INDIA MARINE - EARNED FREIGHT,FL,CARGO - SEAL BRKN & CARGO WAS VANDALIZED,2020-04-01,3,WORLD SPECIALTY INSURANCE CO
CLM10007,SHJ62438046,IN,2020-03-10,2020-03-11,800.0,2020-03-16,WORLD SPECIALTY INSURANCE CO,START-EXP-RSV,357-Adjusting Expenses,MD,CARGO - IV FLIPPED ON SIDE,2020-03-01,1,WORLD SPECIALTY INSURANCE CO
CLM10007,SHJ62438046,IN,2020-03-10,2020-03-11,10000.0,2020-03-17,WORLD SPECIALTY INSURANCE CO,START-LOSS-RSV,551-INDIA MARINE - PRIMARY/REEFER,MD,CARGO - IV FLIPPED ON SIDE,2020-03-01,1,WORLD SPECIALTY INSURANCE CO
CLM10007,SHJ62438046,IN,2020-03-10,2020-03-11,20000.0,2020-03-24,WORLD SPECIALTY INSURANCE CO,START-LOSS-RSV,558-INDIA MARINE - STORAGE & RECOVERY,MD,CARGO - IV FLIPPED ON SIDE,2020-03-01,1,WORLD SPECIALTY INSURANCE CO
CLM10007,SHJ62438046,IN,2020-03-10,2020-03-11,19861.66,2020-03-24,WORLD SPECIALTY INSURANCE CO,INDEMNITY-PAID,558-INDIA MARINE - STORAGE & RECOVERY,MD,CARGO - IV FLIPPED ON SIDE,2020-03-01,1,WORLD SPECIALTY INSURANCE CO
CLM10007,SHJ62438046,IN,2020-03-10,2020-03-11,-138.34,2020-03-24,WORLD SPECIALTY INSURANCE CO,RSV-LOSS-CHG,558-INDIA MARINE - STORAGE & RECOVERY,MD,CARGO - IV FLIPPED ON SIDE,2020-03-01,1,WORLD SPECIALTY INSURANCE CO
CLM10007,SHJ62438046,IN,2020-03-10,2020-03-11,495.0,2020-04-17,WORLD SPECIALTY INSURANCE CO,EXPENSE-PAID,357-Adjusting Expenses,MD,CARGO - IV FLIPPED ON SIDE,2020-04-01,1,WORLD SPECIALTY INSURANCE CO
CLM10007,SHJ62438046,IN,2020-03-10,2020-03-11,-305.0,2020-10-09,WORLD SPECIALTY INSURANCE CO,RSV-EXP-CHG,357-Adjusting Expenses,MD,CARGO - IV FLIPPED ON SIDE,2020-10-01,1,WORLD SPECIALTY INSURANCE CO
CLM10007,SHJ62438046,IN,2020-03-10,2020-03-11,-10000.0,2021-02-24,WORLD SPECIALTY INSURANCE CO,RSV-LOSS-CHG,551-INDIA MARINE - PRIMARY/REEFER,MD,CARGO - IV FLIPPED ON SIDE,2021-02-01,1,WORLD SPECIALTY INSURANCE CO
CLM10008,TIM95392983,IN,2020-04-04,2020-04-07,5000.0,2020-04-08,WORLD SPECIALTY INSURANCE CO,START-LOSS-RSV,558-INDIA MARINE - STORAGE & RECOVERY,TX,CARGO - IV JACKKNIFED,2020-04-01,3,WORLD SPECIALTY INSURANCE CO
CLM10008,TIM95392983,IN,2020-04-04,2020-04-07,25000.0,2020-04-08,WORLD SPECIALTY INSURANCE CO,START-LOSS-RSV,551-INDIA MARINE - PRIMARY/REEFER,TX,CARGO - IV JACKKNIFED,2020-04-01,3,WORLD SPECIALTY INSURANCE CO
CLM10008,TIM95392983,IN,2020-04-04,2020-04-07,800.0,2020-04-08,WORLD SPECIALTY INSURANCE CO,START-EXP-RSV,357-Adjusting Expenses,TX,CARGO - IV JACKKNIFED,2020-04-01,3,WORLD SPECIALTY INSURANCE CO
CLM10008,TIM95392983,IN,2020-04-04,2020-04-07,20000.0,2020-04-09,WORLD SPECIALTY INSURANCE CO,RSV-LOSS-CHG,558-INDIA MARINE - STORAGE & RECOVERY,TX,CARGO - IV JACKKNIFED,2020-04-01,3,WORLD SPECIALTY INSURANCE CO
CLM10008,TIM95392983,IN,2020-04-04,2020-04-07,-800.0,2020-04-22,WORLD SPECIALTY INSURANCE CO,RSV-EXP-CHG,357-Adjusting Expenses,TX,CARGO - IV JACKKNIFED,2020-04-01,3,WORLD SPECIALTY INSURANCE CO
CLM10008,TIM95392983,IN,2020-04-04,2020-04-07,-25000.0,2020-04-22,WORLD SPECIALTY INSURANCE CO,RSV-LOSS-CHG,551-INDIA MARINE - PRIMARY/REEFER,TX,CARGO - IV JACKKNIFED,2020-04-01,3,WORLD SPECIALTY INSURANCE CO
CLM10008,TIM95392983,IN,2020-04-04,2020-04-07,-25000.0,2020-04-22,WORLD SPECIALTY INSURANCE CO,RSV-LOSS-CHG,558-INDIA MARINE - STORAGE & RECOVERY,TX,CARGO - IV JACKKNIFED,2020-04-01,3,WORLD SPECIALTY INSURANCE CO
CLM10009,AWA71576991,CA,2020-04-20,2020-04-22,1500.0,2020-04-24,WORLD SPECIALTY INSURANCE CO,START-EXP-RSV,357-Adjusting Expenses,OK,CARGO - IV TURNED OVER,2020-04-01,2,WORLD SPECIALTY INSURANCE CO
CLM10009,AWA71576991,CA,2020-04-20,2020-04-22,-15000.0,2020-04-27,WORLD SPECIALTY INSURANCE CO,RSV-LOSS-CHG,551-INDIA MARINE - PRIMARY/REEFER,OK,CARGO - IV TURNED OVER,2020-04-01,2,WORLD SPECIALTY INSURANCE CO
CLM10009,AWA71576991,CA,2020-04-20,2020-04-22,25000.0,2020-04-27,WORLD SPECIALTY INSURANCE CO,START-LOSS-RSV,551-INDIA MARINE - PRIMARY/REEFER,OK,CARGO - IV TURNED OVER,2020-04-01,2,WORLD SPECIALTY INSURANCE CO
CLM10009,AWA71576991,CA,2020-04-20,2020-04-22,18297.37,2020-04-27,WORLD SPECIALTY INSURANCE CO,INDEMNITY-PAID,558-INDIA MARINE - STORAGE & RECOVERY,OK,CARGO - IV TURNED OVER,2020-04-01,2,WORLD SPECIALTY INSURANCE CO
CLM10009,AWA71576991,CA,2020-04-20,2020-04-22,20000.0,2020-04-27,WORLD SPECIALTY INSURANCE CO,START-LOSS-RSV,558-INDIA MARINE - STORAGE & RECOVERY,OK,CARGO - IV TURNED OVER,2020-04-01,2,WORLD SPECIALTY INSURANCE CO
CLM10009,AWA71576991,CA,2020-04-20,2020-04-22,-5000.0,2020-04-27,WORLD SPECIALTY INSURANCE CO,RSV-EXP-CHG,551-INDIA MARINE - PRIMARY/REEFER,OK,CARGO - IV TURNED OVER,2020-04-01,2,WORLD SPECIALTY INSURANCE CO
CLM10009,AWA71576991,CA,2020-04-20,2020-04-22,-5000.0,2020-04-27,WORLD SPECIALTY INSURANCE CO,RSV-LOSS-CHG,551-INDIA MARINE - PRIMARY/REEFER,OK,CARGO - IV TURNED OVER,2020-04-01,2,WORLD SPECIALTY INSURANCE CO
CLM10009,AWA71576991,CA,2020-04-20,2020-04-22,5000.0,2020-04-27,WORLD SPECIALTY INSURANCE CO,RSV-EXP-CHG,551-INDIA MARINE - PRIMARY/REEFER,OK,CARGO - IV TURNED OVER,2020-04-01,2,WORLD SPECIALTY INSURANCE CO
CLM10009,AWA71576991,CA,2020-04-20,2020-04-22,647.15,2020-05-05,WORLD SPECIALTY INSURANCE CO,EXPENSE-PAID,357-Adjusting Expenses,OK,CARGO - IV TURNED OVER,2020-05-01,2,WORLD SPECIALTY INSURANCE CO
CLM10009,AWA71576991,CA,2020-04-20,2020-04-22,2000.0,2020-05-07,WORLD SPECIALTY INSURANCE CO,RSV-LOSS-CHG,558-INDIA MARINE - STORAGE & RECOVERY,OK,CARGO - IV TURNED OVER,2020-05-01,2,WORLD SPECIALTY INSURANCE CO
CLM10009,AWA71576991,CA,2020-04-20,2020-04-22,-1164.46,2020-05-08,WORLD SPECIALTY INSURANCE CO,RSV-LOSS-CHG,558-INDIA MARINE - STORAGE & RECOVERY,OK,CARGO - IV TURNED OVER,2020-05-01,2,WORLD SPECIALTY INSURANCE CO
CLM10009,AWA71576991,CA,2020-04-20,2020-04-22,2538.17,2020-05-08,WORLD SPECIALTY INSURANCE CO,INDEMNITY-PAID,558-INDIA MARINE - STORAGE & RECOVERY,OK,CARGO - IV TURNED OVER,2020-05-01,2,WORLD SPECIALTY INSURANCE CO
CLM10009,AWA71576991,CA,2020-04-20,2020-04-22,-852.85,2021-09-24,WORLD SPECIALTY INSURANCE CO,RSV-EXP-CHG,357-Adjusting Expenses,OK,CARGO - IV TURNED OVER,2021-09-01,2,WORLD SPECIALTY INSURANCE CO
CLM10009,AWA71576991,CA,2020-04-20,2020-04-22,-5000.0,2021-09-24,WORLD SPECIALTY INSURANCE CO,RSV-LOSS-CHG,551-INDIA MARINE - PRIMARY/REEFER,OK,CARGO - IV TURNED OVER,2021-09-01,2,WORLD SPECIALTY INSURANCE CO
CLM10010,IZK22675239,VA,2020-04-17,2020-05-08,10000.0,2020-05-11,WORLD SPECIALTY INSURANCE CO,START-LOSS-RSV,551-INDIA MARINE - PRIMARY/REEFER,MD,*CARGO  DAMAGED PORSCHE,2020-05-01,21,WORLD SPECIALTY INSURANCE CO
CLM10010,IZK22675239,VA,2020-04-17,2020-05-08,-10000.0,2020-06-26,WORLD SPECIALTY INSURANCE CO,RSV-LOSS-CHG,551-INDIA MARINE - PRIMARY/REEFER,MD,*CARGO  DAMAGED PORSCHE,2020-06-01,21,WORLD SPECIALTY INSURANCE CO
CLM10011,TZO29302119,TX,2020-04-30,2020-05-10,25000.0,2020-05-11,WORLD SPECIALTY INSURANCE CO,START-LOSS-RSV,551-INDIA MARINE - PRIMARY/REEFER,FL,* CARGO - MISSING BOXES MED MASKS,2020-05-01,10,WORLD SPECIALTY INSURANCE CO
CLM10011,TZO29302119,TX,2020-04-30,2020-05-10,-25000.0,2020-05-12,WORLD SPECIALTY INSURANCE CO,RSV-LOSS-CHG,551-INDIA MARINE - PRIMARY/REEFER,FL,* CARGO - MISSING BOXES MED MASKS,2020-05-01,10,WORLD SPECIALTY INSURANCE CO
CLM10012,WVQ10944751,TN,2020-03-17,2020-05-22,10000.0,2020-05-22,WORLD SPECIALTY INSURANCE CO,START-LOSS-RSV,551-INDIA MARINE - PRIMARY/REEFER,PA,*CARGO TRAILER LEAK/DAMP CARGO.,2020-05-01,66,WORLD SPECIALTY INSURANCE CO
CLM10012,WVQ10944751,TN,2020-03-17,2020-05-22,800.0,2020-06-16,WORLD SPECIALTY INSURANCE CO,START-EXP-RSV,357-Adjusting Expenses,PA,*CARGO TRAILER LEAK/DAMP CARGO.,2020-06-01,66,WORLD SPECIALTY INSURANCE CO
