DATE,AMOUNT,COMPANY,ACCIDENT_STATE,CLAIM_ID,POLICY,TYPE,COVERAGE,DAYS_TO_NOTICE,MONTH_YEAR,COMPANY_NORMALIZED
2020-03-19,5000.0,WORLD SPECIALTY INSURANCE CO,FL,CLM10006,AWA71576991,RSV-LOSS-CHG,551-INDIA MARINE - PRIMARY/REEFER,3,2020-03,WORLD SPECIALTY INSURANCE CO
2020-03-24,200.0,WORLD SPECIALTY INSURANCE CO,FL,CLM10006,AWA71576991,START-EXP-RSV,357-Adjusting Expenses,3,2020-03,WORLD SPECIALTY INSURANCE CO
2020-03-27,84110.4,WORLD SPECIALTY INSURANCE CO,FL,CLM10006,AWA71576991,INDEMNITY-PAID,551-INDIA MARINE - PRIMARY/REEFER,3,2020-03,WORLD SPECIALTY INSURANCE CO
2020-03-27,2500.0,WORLD SPECIALTY INSURANCE CO,FL,CLM10006,AWA71576991,START-LOSS-RSV,554-INDIA MARINE - EARNED FREIGHT,3,2020-03,WORLD SPECIALTY INSURANCE CO
2020-03-27,2500.0,WORLD SPECIALTY INSURANCE CO,FL,CLM10006,AWA71576991,START-EXP-RSV,554-INDIA MARINE - EARNED FREIGHT,3,2020-03,WORLD SPECIALTY INSURANCE CO
2020-03-27,2500.0,WORLD SPECIALTY INSURANCE CO,FL,CLM10006,AWA71576991,START-LOSS-RSV,554-INDIA MARINE - EARNED FREIGHT,3,2020-03,WORLD SPECIALTY INSURANCE CO
2020-04-02,2500.0,WORLD SPECIALTY INSURANCE CO,FL,CLM10006,AWA71576991,DED-RECV,554-INDIA MARINE - EARNED FREIGHT,3,2020-04,WORLD SPECIALTY INSURANCE CO
2020-04-02,5000.0,WORLD SPECIALTY INSURANCE CO,FL,CLM10006,AWA71576991,INDEMNITY-PAID,554-INDIA MARINE - EARNED FREIGHT,3,2020-04,WORLD SPECIALTY INSURANCE CO
2020-04-02,1034.58,WORLD SPECIALTY INSURANCE CO,FL,CLM10006,AWA71576991,EXPENSE-PAID,357-Adjusting Expenses,3,2020-04,WORLD SPECIALTY INSURANCE CO
2020-03-16,800.0,WORLD SPECIALTY INSURANCE CO,MD,CLM10007,SHJ62438046,START-EXP-RSV,357-Adjusting Expenses,1,2020-03,WORLD SPECIALTY INSURANCE CO
2020-03-17,10000.0,WORLD SPECIALTY INSURANCE CO,MD,CLM10007,SHJ62438046,START-LOSS-RSV,551-INDIA MARINE - PRIMARY/REEFER,1,2020-03,WORLD SPECIALTY INSURANCE CO
2020-03-24,20000.0,WORLD SPECIALTY INSURANCE CO,MD,CLM10007,SHJ62438046,START-LOSS-RSV,558-INDIA MARINE - STORAGE & RECOVERY,1,2020-03,WORLD SPECIALTY INSURANCE CO
2020-03-24,19861.66,WORLD SPECIALTY INSURANCE CO,MD,CLM10007,SHJ62438046,INDEMNITY-PAID,558-INDIA MARINE - STORAGE & RECOVERY,1,2020-03,WORLD SPECIALTY INSURANCE CO
2020-04-17,495.0,WORLD SPECIALTY INSURANCE CO,MD,CLM10007,SHJ62438046,EXPENSE-PAID,357-Adjusting Expenses,1,2020-04,WORLD SPECIALTY INSURANCE CO
2020-04-08,5000.0,WORLD SPECIALTY INSURANCE CO,TX,CLM10008,TIM95392983,START-LOSS-RSV,558-INDIA MARINE - STORAGE & RECOVERY,3,2020-04,WORLD SPECIALTY INSURANCE CO
2020-04-08,25000.0,WORLD SPECIALTY INSURANCE CO,TX,CLM10008,TIM95392983,START-LOSS-RSV,551-INDIA MARINE - PRIMARY/REEFER,3,2020-04,WORLD SPECIALTY INSURANCE CO
2020-04-08,800.0,WORLD SPECIALTY INSURANCE CO,TX,CLM10008,TIM95392983,START-EXP-RSV,357-Adjusting Expenses,3,2020-04,WORLD SPECIALTY INSURANCE CO
2020-04-09,20000.0,WORLD SPECIALTY INSURANCE CO,TX,CLM10008,TIM95392983,RSV-LOSS-CHG,558-INDIA MARINE - STORAGE & RECOVERY,3,2020-04,WORLD SPECIALTY INSURANCE CO
2020-04-24,1500.0,WORLD SPECIALTY INSURANCE CO,OK,CLM10009,AWA71576991,START-EXP-RSV,357-Adjusting Expenses,2,2020-04,WORLD SPECIALTY INSURANCE CO
2020-04-27,25000.0,WORLD SPECIALTY INSURANCE CO,OK,CLM10009,AWA71576991,START-LOSS-RSV,551-INDIA MARINE - PRIMARY/REEFER,2,2020-04,WORLD SPECIALTY INSURANCE CO
2020-04-27,18297.37,WORLD SPECIALTY INSURANCE CO,OK,CLM10009,AWA71576991,INDEMNITY-PAID,558-INDIA MARINE - STORAGE & RECOVERY,2,2020-04,WORLD SPECIALTY INSURANCE CO
2020-04-27,20000.0,WORLD SPECIALTY INSURANCE CO,OK,CLM10009,AWA71576991,START-LOSS-RSV,558-INDIA MARINE - STORAGE & RECOVERY,2,2020-04,WORLD SPECIALTY INSURANCE CO
2020-04-27,5000.0,WORLD SPECIALTY INSURANCE CO,OK,CLM10009,AWA71576991,RSV-EXP-CHG,551-INDIA MARINE - PRIMARY/REEFER,2,2020-04,WORLD SPECIALTY INSURANCE CO
2020-05-05,647.15,WORLD SPECIALTY INSURANCE CO,OK,CLM10009,AWA71576991,EXPENSE-PAID,357-Adjusting Expenses,2,2020-05,WORLD SPECIALTY INSURANCE CO
2020-05-07,2000.0,WORLD SPECIALTY INSURANCE CO,OK,CLM10009,AWA71576991,RSV-LOSS-CHG,558-INDIA MARINE - STORAGE & RECOVERY,2,2020-05,WORLD SPECIALTY INSURANCE CO
2020-05-08,2538.17,WORLD SPECIALTY INSURANCE CO,OK,CLM10009,AWA71576991,INDEMNITY-PAID,558-INDIA MARINE - STORAGE & RECOVERY,2,2020-05,WORLD SPECIALTY INSURANCE CO
2020-05-11,10000.0,WORLD SPECIALTY INSURANCE CO,MD,CLM10010,IZK22675239,START-LOSS-RSV,551-INDIA MARINE - PRIMARY/REEFER,21,2020-05,WORLD SPECIALTY INSURANCE CO
2020-05-11,25000.0,WORLD SPECIALTY INSURANCE CO,FL,CLM10011,TZO29302119,START-LOSS-RSV,551-INDIA MARINE - PRIMARY/REEFER,10,2020-05,WORLD SPECIALTY INSURANCE CO
2020-05-22,10000.0,WORLD SPECIALTY INSURANCE CO,PA,CLM10012,WVQ10944751,START-LOSS-RSV,551-INDIA MARINE - PRIMARY/REEFER,66,2020-05,WORLD SPECIALTY INSURANCE CO
2020-06-16,800.0,WORLD SPECIALTY INSURANCE CO,PA,CLM10012,WVQ10944751,START-EXP-RSV,357-Adjusting Expenses,66,2020-06,WORLD SPECIALTY INSURANCE CO
2020-06-17,352.9,WORLD SPECIALTY INSURANCE CO,PA,CLM10012,WVQ10944751,EXPENSE-PAID,357-Adjusting Expenses,66,2020-06,WORLD SPECIALTY INSURANCE CO
2020-05-26,10000.0,WORLD SPECIALTY INSURANCE CO,TN,CLM10013,ODP32065040,START-LOSS-RSV,551-INDIA MARINE - PRIMARY/REEFER,3,2020-05,WORLD SPECIALTY INSURANCE CO
2020-05-27,10000.0,WORLD SPECIALTY INSURANCE CO,TN,CLM10013,ODP32065040,RSV-LOSS-CHG,558-INDIA MARINE - STORAGE & RECOVERY,3,2020-05,WORLD SPECIALTY INSURANCE CO
2020-05-27,25000.0,WORLD SPECIALTY INSURANCE CO,TN,CLM10013,ODP32065040,START-LOSS-RSV,558-INDIA MARINE - STORAGE & RECOVERY,3,2020-05,WORLD SPECIALTY INSURANCE CO
2020-05-27,5000.0,WORLD SPECIALTY INSURANCE CO,TN,CLM10013,ODP32065040,RSV-LOSS-CHG,551-INDIA MARINE - PRIMARY/REEFER,3,2020-05,WORLD SPECIALTY INSURANCE CO
2020-05-27,1500.0,WORLD SPECIALTY INSURANCE CO,TN,CLM10013,ODP32065040,START-EXP-RSV,357-Adjusting Expenses,3,2020-05,WORLD SPECIALTY INSURANCE CO
2020-05-28,12855.0,WORLD SPECIALTY INSURANCE CO,TN,CLM10013,ODP32065040,INDEMNITY-PAID,558-INDIA MARINE - STORAGE & RECOVERY,3,2020-05,WORLD SPECIALTY INSURANCE CO
2020-06-23,512.71,WORLD SPECIALTY INSURANCE CO,TN,CLM10013,ODP32065040,EXPENSE-PAID,357-Adjusting Expenses,3,2020-06,WORLD SPECIALTY INSURANCE CO
2020-06-23,2929.77,WORLD SPECIALTY INSURANCE CO,TN,CLM10013,ODP32065040,SAL-RECV,558-INDIA MARINE - STORAGE & RECOVERY,3,2020-06,WORLD SPECIALTY INSURANCE CO
2020-06-23,2929.77,WORLD SPECIALTY INSURANCE CO,TN,CLM10013,ODP32065040,START-EXP-RSV,558-INDIA MARINE - STORAGE & RECOVERY,3,2020-06,WORLD SPECIALTY INSURANCE CO
2020-07-10,2300.0,WORLD SPECIALTY INSURANCE CO,TN,CLM10013,ODP32065040,START-LOSS-RSV,554-INDIA MARINE - EARNED FREIGHT,3,2020-07,WORLD SPECIALTY INSURANCE CO
2020-07-10,1000.0,WORLD SPECIALTY INSURANCE CO,TN,CLM10013,ODP32065040,RSV-LOSS-CHG,551-INDIA MARINE - PRIMARY/REEFER,3,2020-07,WORLD SPECIALTY INSURANCE CO
2020-07-10,11000.0,WORLD SPECIALTY INSURANCE CO,TN,CLM10013,ODP32065040,RSV-LOSS-CHG,551-INDIA MARINE - PRIMARY/REEFER,3,2020-07,WORLD SPECIALTY INSURANCE CO
2020-07-14,2215.6,WORLD SPECIALTY INSURANCE CO,TN,CLM10013,ODP32065040,INDEMNITY-PAID,554-INDIA MARINE - EARNED FREIGHT,3,2020-07,WORLD SPECIALTY INSURANCE CO
2020-07-14,20535.12,WORLD SPECIALTY INSURANCE CO,TN,CLM10013,ODP32065040,INDEMNITY-PAID,551-INDIA MARINE - PRIMARY/REEFER,3,2020-07,WORLD SPECIALTY INSURANCE CO
2020-06-11,50000.0,WORLD SPECIALTY INSURANCE CO,TX,CLM10014,FFB45719770,START-LOSS-RSV,551-INDIA MARINE - PRIMARY/REEFER,1,2020-06,WORLD SPECIALTY INSURANCE CO
2020-06-16,5000.0,WORLD SPECIALTY INSURANCE CO,TX,CLM10014,FFB45719770,START-LOSS-RSV,553-INDIA MARINE - DEBRIS REMOVAL,1,2020-06,WORLD SPECIALTY INSURANCE CO
2020-06-18,5000.0,WORLD SPECIALTY INSURANCE CO,TX,CLM10014,FFB45719770,INDEMNITY-PAID,553-INDIA MARINE - DEBRIS REMOVAL,1,2020-06,WORLD SPECIALTY INSURANCE CO
2020-06-25,16953.5,WORLD SPECIALTY INSURANCE CO,TX,CLM10014,FFB45719770,INDEMNITY-PAID,551-INDIA MARINE - PRIMARY/REEFER,1,2020-06,WORLD SPECIALTY INSURANCE CO
2020-07-01,2500.0,WORLD SPECIALTY INSURANCE CO,TX,CLM10014,FFB45719770,START-LOSS-RSV,554-INDIA MARINE - EARNED FREIGHT,1,2020-07,WORLD SPECIALTY INSURANCE CO
2020-07-08,2500.0,WORLD SPECIALTY INSURANCE CO,TX,CLM10014,FFB45719770,INDEMNITY-PAID,554-INDIA MARINE - EARNED FREIGHT,1,2020-07,WORLD SPECIALTY INSURANCE CO
2020-08-31,2500.0,WORLD SPECIALTY INSURANCE CO,TX,CLM10014,FFB45719770,DED-RECV,551-INDIA MARINE - PRIMARY/REEFER,1,2020-08,WORLD SPECIALTY INSURANCE CO
2020-06-22,800.0,WORLD SPECIALTY INSURANCE CO,IL,CLM10015,FFB45719770,START-EXP-RSV,357-Adjusting Expenses,0,2020-06,WORLD SPECIALTY INSURANCE CO
2020-06-22,50000.0,WORLD SPECIALTY INSURANCE CO,IL,CLM10015,FFB45719770,START-LOSS-RSV,551-INDIA MARINE - PRIMARY/REEFER,0,2020-06,WORLD SPECIALTY INSURANCE CO
2020-06-24,5000.0,WORLD SPECIALTY INSURANCE CO,IL,CLM10015,FFB45719770,START-LOSS-RSV,553-INDIA MARINE - DEBRIS REMOVAL,0,2020-06,WORLD SPECIALTY INSURANCE CO
2020-07-01,3192.5,WORLD SPECIALTY INSURANCE CO,IL,CLM10015,FFB45719770,INDEMNITY-PAID,553-INDIA MARINE - DEBRIS REMOVAL,0,2020-07,WORLD SPECIALTY INSURANCE CO
2020-07-08,2500.0,WORLD SPECIALTY INSURANCE CO,IL,CLM10015,FFB45719770,START-LOSS-RSV,554-INDIA MARINE - EARNED FREIGHT,0,2020-07,WORLD SPECIALTY INSURANCE CO
2020-07-22,776.4,WORLD SPECIALTY INSURANCE CO,IL,CLM10015,FFB45719770,EXPENSE-PAID,357-Adjusting Expenses,0,2020-07,WORLD SPECIALTY INSURANCE CO
2021-05-21,32770.3,WORLD SPECIALTY INSURANCE CO,IL,CLM10015,FFB45719770,INDEMNITY-PAID,551-INDIA MARINE - PRIMARY/REEFER,0,2021-05,WORLD SPECIALTY INSURANCE CO
2021-05-21,1200.0,WORLD SPECIALTY INSURANCE CO,IL,CLM10015,FFB45719770,INDEMNITY-PAID,554-INDIA MARINE - EARNED FREIGHT,0,2021-05,WORLD SPECIALTY INSURANCE CO
2020-06-22,25000.0,WORLD SPECIALTY INSURANCE CO,TX,CLM10016,SHJ62438047,START-LOSS-RSV,551-INDIA MARINE - PRIMARY/REEFER,27,2020-06,WORLD SPECIALTY INSURANCE CO
2020-06-24,25000.0,WORLD SPECIALTY INSURANCE CO,TX,CLM10016,SHJ62438047,START-LOSS-RSV,553-INDIA MARINE - DEBRIS REMOVAL,27,2020-06,WORLD SPECIALTY INSURANCE CO
2020-07-09,25000.0,WORLD SPECIALTY INSURANCE CO,TX,CLM10016,SHJ62438047,INDEMNITY-PAID,553-INDIA MARINE - DEBRIS REMOVAL,27,2020-07,WORLD SPECIALTY INSURANCE CO
2020-07-10,28000.0,WORLD SPECIALTY INSURANCE CO,TX,CLM10016,SHJ62438047,RSV-LOSS-CHG,551-INDIA MARINE - PRIMARY/REEFER,27,2020-07,WORLD SPECIALTY INSURANCE CO
2020-07-10,3000.0,WORLD SPECIALTY INSURANCE CO,TX,CLM10016,SHJ62438047,RSV-LOSS-CHG,551-INDIA MARINE - PRIMARY/REEFER,27,2020-07,WORLD SPECIALTY INSURANCE CO
2020-08-05,5000.0,WORLD SPECIALTY INSURANCE CO,TX,CLM10016,SHJ62438047,START-LOSS-RSV,554-INDIA MARINE - EARNED FREIGHT,27,2020-08,WORLD SPECIALTY INSURANCE CO
2020-09-08,52300.75,WORLD SPECIALTY INSURANCE CO,TX,CLM10016,SHJ62438047,INDEMNITY-PAID,551-INDIA MARINE - PRIMARY/REEFER,27,2020-09,WORLD SPECIALTY INSURANCE CO
2020-09-08,4458.95,WORLD SPECIALTY INSURANCE CO,TX,CLM10016,SHJ62438047,INDEMNITY-PAID,554-INDIA MARINE - EARNED FREIGHT,27,2020-09,WORLD SPECIALTY INSURANCE CO
2024-07-15,2134.0,WORLD SPECIALTY INSURANCE CO,TX,CLM10016,SHJ62438047,START-EXP-RSV,358-Legal Expenses,27,2024-07,WORLD SPECIALTY INSURANCE CO
2020-07-13,25000.0,WORLD SPECIALTY INSURANCE CO,TX,CLM10017,AWA71576991,START-LOSS-RSV,551-INDIA MARINE - PRIMARY/REEFER,4,2020-07,WORLD SPECIALTY INSURANCE CO
2020-07-14,10000.0,WORLD SPECIALTY INSURANCE CO,TX,CLM10017,AWA71576991,RSV-LOSS-CHG,551-INDIA MARINE - PRIMARY/REEFER,4,2020-07,WORLD SPECIALTY INSURANCE CO
2020-07-14,5000.0,WORLD SPECIALTY INSURANCE CO,TX,CLM10017,AWA71576991,START-LOSS-RSV,553-INDIA MARINE - DEBRIS REMOVAL,4,2020-07,WORLD SPECIALTY INSURANCE CO
2020-07-28,5000.0,WORLD SPECIALTY INSURANCE CO,TX,CLM10017,AWA71576991,START-LOSS-RSV,554-INDIA MARINE - EARNED FREIGHT,4,2020-07,WORLD SPECIALTY INSURANCE CO
2020-07-28,25000.0,WORLD SPECIALTY INSURANCE CO,TX,CLM10017,AWA71576991,START-LOSS-RSV,558-INDIA MARINE - STORAGE & RECOVERY,4,2020-07,WORLD SPECIALTY INSURANCE CO
2020-09-21,4668.18,WORLD SPECIALTY INSURANCE CO,TX,CLM10017,AWA71576991,INDEMNITY-PAID,553-INDIA MARINE - DEBRIS REMOVAL,4,2020-09,WORLD SPECIALTY INSURANCE CO
2020-09-21,5087.5,WORLD SPECIALTY INSURANCE CO,TX,CLM10017,AWA71576991,INDEMNITY-PAID,558-INDIA MARINE - STORAGE & RECOVERY,4,2020-09,WORLD SPECIALTY INSURANCE CO
2020-07-20,10000.0,WORLD SPECIALTY INSURANCE CO,OH,CLM10018,SPS50727431,START-LOSS-RSV,551-INDIA MARINE - PRIMARY/REEFER,14,2020-07,WORLD SPECIALTY INSURANCE CO
2020-08-04,2500.0,WORLD SPECIALTY INSURANCE CO,OH,CLM10018,SPS50727431,START-LOSS-RSV,554-INDIA MARINE - EARNED FREIGHT,14,2020-08,WORLD SPECIALTY INSURANCE CO
2020-08-20,6098.4,WORLD SPECIALTY INSURANCE CO,OH,CLM10018,SPS50727431,INDEMNITY-PAID,551-INDIA MARINE - PRIMARY/REEFER,14,2020-08,WORLD SPECIALTY INSURANCE CO
2020-08-21,1250.0,WORLD SPECIALTY INSURANCE CO,OH,CLM10018,SPS50727431,INDEMNITY-PAID,554-INDIA MARINE - EARNED FREIGHT,14,2020-08,WORLD SPECIALTY INSURANCE CO
2020-08-27,1000.0,WORLD SPECIALTY INSURANCE CO,OH,CLM10018,SPS50727431,DED-RECV,551-INDIA MARINE - PRIMARY/REEFER,14,2020-08,WORLD SPECIALTY INSURANCE CO
2020-07-20,15000.0,WORLD SPECIALTY INSURANCE CO,TX,CLM10019,CGF60330090,RSV-LOSS-CHG,551-INDIA MARINE - PRIMARY/REEFER,2,2020-07,WORLD SPECIALTY INSURANCE CO
2020-07-20,10000.0,WORLD SPECIALTY INSURANCE CO,TX,CLM10019,CGF60330090,START-LOSS-RSV,551-INDIA MARINE - PRIMARY/REEFER,2,2020-07,WORLD SPECIALTY INSURANCE CO
2020-10-02,3000.0,WORLD SPECIALTY INSURANCE CO,TX,CLM10019,CGF60330090,RSV-LOSS-CHG,551-INDIA MARINE - PRIMARY/REEFER,2,2020-10,WORLD SPECIALTY INSURANCE CO
2020-10-20,2500.0,WORLD SPECIALTY INSURANCE CO,TX,CLM10019,CGF60330090,START-LOSS-RSV,554-INDIA MARINE - EARNED FREIGHT,2,2020-10,WORLD SPECIALTY INSURANCE CO
2020-11-10,26172.0,WORLD SPECIALTY INSURANCE CO,TX,CLM10019,CGF60330090,INDEMNITY-PAID,551-INDIA MARINE - PRIMARY/REEFER,2,2020-11,WORLD SPECIALTY INSURANCE CO
2020-11-10,2500.0,WORLD SPECIALTY INSURANCE CO,TX,CLM10019,CGF60330090,INDEMNITY-PAID,554-INDIA MARINE - EARNED FREIGHT,2,2020-11,WORLD SPECIALTY INSURANCE CO
2020-11-30,2500.0,WORLD SPECIALTY INSURANCE CO,TX,CLM10019,CGF60330090,DED-RECV,551-INDIA MARINE - PRIMARY/REEFER,2,2020-11,WORLD SPECIALTY INSURANCE CO
2020-07-21,15000.0,WORLD SPECIALTY INSURANCE CO,NC,CLM10020,HLN49619339,START-LOSS-RSV,552-INDIA MARINE - TRAILER INTERCHANGE,4,2020-07,WORLD SPECIALTY INSURANCE CO
2020-07-22,1500.0,WORLD SPECIALTY INSURANCE CO,NC,CLM10020,HLN49619339,START-EXP-RSV,357-Adjusting Expenses,4,2020-07,WORLD SPECIALTY INSURANCE CO
2020-07-22,10000.0,WORLD SPECIALTY INSURANCE CO,NC,CLM10020,HLN49619339,RSV-LOSS-CHG,552-INDIA MARINE - TRAILER INTERCHANGE,4,2020-07,WORLD SPECIALTY INSURANCE CO
2020-07-27,3000.0,WORLD SPECIALTY INSURANCE CO,NC,CLM10020,HLN49619339,RSV-LOSS-CHG,552-INDIA MARINE - TRAILER INTERCHANGE,4,2020-07,WORLD SPECIALTY INSURANCE CO
2020-07-27,10000.0,WORLD SPECIALTY INSURANCE CO,NC,CLM10020,HLN49619339,START-LOSS-RSV,553-INDIA MARINE - DEBRIS REMOVAL,4,2020-07,WORLD SPECIALTY INSURANCE CO
2020-07-27,5000.0,WORLD SPECIALTY INSURANCE CO,NC,CLM10020,HLN49619339,START-LOSS-RSV,558-INDIA MARINE - STORAGE & RECOVERY,4,2020-07,WORLD SPECIALTY INSURANCE CO
2020-07-28,308.8,WORLD SPECIALTY INSURANCE CO,NC,CLM10020,HLN49619339,EXPENSE-PAID,357-Adjusting Expenses,4,2020-07,WORLD SPECIALTY INSURANCE CO
2020-08-06,5000.0,WORLD SPECIALTY INSURANCE CO,NC,CLM10020,HLN49619339,INDEMNITY-PAID,558-INDIA MARINE - STORAGE & RECOVERY,4,2020-08,WORLD SPECIALTY INSURANCE CO
2020-08-06,15000.0,WORLD SPECIALTY INSURANCE CO,NC,CLM10020,HLN49619339,START-LOSS-RSV,551-INDIA MARINE - PRIMARY/REEFER,4,2020-08,WORLD SPECIALTY INSURANCE CO
2020-08-06,10000.0,WORLD SPECIALTY INSURANCE CO,NC,CLM10020,HLN49619339,INDEMNITY-PAID,553-INDIA MARINE - DEBRIS REMOVAL,4,2020-08,WORLD SPECIALTY INSURANCE CO
2020-09-11,26010.1,WORLD SPECIALTY INSURANCE CO,NC,CLM10020,HLN49619339,INDEMNITY-PAID,552-INDIA MARINE - TRAILER INTERCHANGE,4,2020-09,WORLD SPECIALTY INSURANCE CO
